Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Rotational Velocity (deg/s),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,74.0,185.0,12.0,0.0,0,0.0,74.0,185.0,12.0,0.0,3.0,0.0
1.0,0.07913669064748201,75.0,185.0,13.272727272727273,0.0,0,0.0,140.0,185.0,96.0,0.0,3.0,0.0
2.0,0.1510321154840833,76.0,185.0,14.545454545454547,0.0,0,0.0,200.0,185.0,96.0,0.0,3.0,0.0
3.0,0.21690037895713718,77.0,185.0,15.81818181818182,0.0,0,0.0,282.0,186.0,12.0,0.0,3.0,0
4.0,0.2776738596201206,78.0,185.0,17.090909090909093,0.0,0,0.0,,,,,,
5.0,0.334084116030377,79.0,185.0,18.363636363636367,0.0,0,0.0,,,,,,
6.0,0.38671569497774544,80.0,185.0,19.63636363636364,0.0,0,0.0,,,,,,
7.0,0.4360430492378351,81.0,185.0,20.909090909090914,0.0,0,0.0,,,,,,
8.0,0.48245655134753973,82.0,185.0,22.181818181818187,0.0,0,0.0,,,,,,
9.0,0.5262812525427588,83.0,185.0,23.45454545454546,0.0,0,0.0,,,,,,
10.0,0.567790686505023,84.0,185.0,24.727272727272734,0.0,0,0.0,,,,,,
11.0,0.607217209802514,85.0,185.0,26.000000000000007,0.0,0,-0.0,,,,,,
12.0,0.644759871918555,86.0,185.0,27.27272727272728,0.0,0,-0.0,,,,,,
13.0,0.6805904908110632,87.0,185.0,28.545454545454554,0.0,0,-0.0,,,,,,
14.0,0.7148584035836488,88.0,185.0,29.818181818181827,0.0,0,-0.0,,,,,,
15.0,0.7476942244791712,89.0,185.0,31.0909090909091,0.0,0,-0.0,,,,,,
16.0,0.7792128491210051,90.0,185.0,32.363636363636374,0.0,0,-0.0,,,,,,
17.0,0.8095158794240354,91.0,185.0,33.63636363636365,0.0,0,-0.0,,,,,,
18.0,0.8386935982569266,92.0,185.0,34.90909090909092,0.0,0,-0.0,,,,,,
19.0,0.8668265905842923,93.0,185.0,36.181818181818194,0.0,0,-0.0,,,,,,
20.0,0.8939870844114528,94.0,185.0,37.45454545454547,0.0,0,-0.0,,,,,,
21.0,0.9202400677050089,95.0,185.0,38.72727272727274,0.0,0,-0.0,,,,,,
22.0,0.9456442247488888,96.0,185.0,40.000000000000014,0.0,0,-0.0,,,,,,
23.0,0.970252725867457,97.0,185.0,41.27272727272729,0.0,0,-0.0,,,,,,
24.0,0.9941138972340514,98.0,185.0,42.54545454545456,0.0,0,-0.0,,,,,,
25.0,1.0172717919708936,99.0,185.0,43.818181818181834,0.0,0,-0.0,,,,,,
26.0,1.039766679496456,100.0,185.0,45.09090909090911,0.0,0,-0.0,,,,,,
27.0,1.0616354667727979,101.0,185.0,46.36363636363638,0.0,0,-0.0,,,,,,
28.0,1.0829120625174786,102.0,185.0,47.636363636363654,0.0,0,0.0,,,,,,
29.0,1.103627693402601,103.0,185.0,48.90909090909093,0.0,0,0.0,,,,,,
30.0,1.1238111796411332,104.0,185.0,50.1818181818182,0.0,0,0.0,,,,,,
31.0,1.1434891760633157,105.0,185.0,51.454545454545475,0.0,0,0.0,,,,,,
32.0,1.1626863837421988,106.0,185.0,52.72727272727275,0.0,0,0.0,,,,,,
33.0,1.1814257363827438,107.0,185.0,54.00000000000002,0.0,0,0.0,,,,,,
34.0,1.1997285650017122,108.0,185.0,55.272727272727295,0.0,0,0.0,,,,,,
35.0,1.2176147438635008,109.0,185.0,56.54545454545457,0.0,0,0.0,,,,,,
36.0,1.2351028201751064,110.0,185.0,57.81818181818184,0.0,0,0.0,,,,,,
37.0,1.252210129661887,111.0,185.0,59.090909090909115,0.0,0,0.0,,,,,,
38.0,1.2689528998293147,112.0,185.0,60.36363636363639,0.0,0,0.0,,,,,,
39.0,1.2853463424522655,113.0,185.0,61.63636363636366,0.0,0,0.0,,,,,,
40.0,1.3014047366128494,114.0,185.0,62.909090909090935,0.0,0,0.0,,,,,,
41.0,1.3171415034225775,115.0,185.0,64.1818181818182,0.0,0,0.0,,,,,,
42.0,1.3325692734085524,116.0,185.0,65.45454545454547,0.0,0,0.0,,,,,,
43.0,1.3476999474113034,117.0,185.0,66.72727272727273,0.0,0,0.0,,,,,,
44.0,1.362544751729792,118.0,185.0,68.0,0.0,0,0.0,,,,,,
45.0,1.377114288153633,119.0,185.0,69.27272727272727,0.0,0,0.0,,,,,,
46.0,1.3914185794410192,120.0,185.0,70.54545454545453,0.0,0,0.0,,,,,,
47.0,1.4054671107309298,121.0,185.0,71.8181818181818,0.0,0,0.0,,,,,,
48.0,1.4192688673181317,122.0,185.0,73.09090909090907,0.0,0,0.0,,,,,,
49.0,1.4328323691677,123.0,185.0,74.36363636363633,0.0,0,0.0,,,,,,
50.0,1.4461657025010335,124.0,185.0,75.6363636363636,0.0,0,0.0,,,,,,
51.0,1.459276548746564,125.0,185.0,76.90909090909086,0.0,0,0.0,,,,,,
52.0,1.4721722111146764,126.0,185.0,78.18181818181813,0.0,0,0.0,,,,,,
53.0,1.484859639027018,127.0,185.0,79.4545454545454,0.0,0,0.0,,,,,,
54.0,1.4973454506047705,128.0,185.0,80.72727272727266,0.0,0,0.0,,,,,,
55.0,1.5096359533980666,129.0,185.0,81.99999999999993,0.0,0,0.0,,,,,,
56.0,1.5217371635190786,130.0,185.0,83.2727272727272,0.0,0,0.0,,,,,,
57.0,1.5336548233240623,131.0,185.0,84.54545454545446,0.0,0,0.0,,,,,,
58.0,1.5453944177744359,132.0,185.0,85.81818181818173,0.0,0,0.0,,,,,,
59.0,1.5569611895935735,133.0,185.0,87.090909090909,0.0,0,0.0,,,,,,
60.0,1.5683601533241436,134.0,185.0,88.36363636363626,0.0,0,0.0,,,,,,
61.0,1.5795961083803234,135.0,185.0,89.63636363636353,0.0,0,0.0,,,,,,
62.0,1.5906736511799207,136.0,185.0,90.90909090909079,0.0,0,0.0,,,,,,
63.0,1.601597186433148,137.0,185.0,92.18181818181806,0.0,0,0.0,,,,,,
64.0,1.612370937657438,138.0,185.0,93.45454545454533,0.0,0,0.0,,,,,,
65.0,1.6229989569811094,139.0,185.0,94.72727272727259,0.0,0,0.0,,,,,,
66.0,1.633485134292835,140.0,185.0,96.0,0.0,0,0.0,,,,,,
67.0,1.6439018009595017,141.0,185.0,96.0,0.0,0,0.0,,,,,,
68.0,1.6543184676261684,142.0,185.0,96.0,0.0,0,0.0,,,,,,
69.0,1.6647351342928352,143.0,185.0,96.0,0.0,0,0.0,,,,,,
70.0,1.675151800959502,144.0,185.0,96.0,0.0,0,0.0,,,,,,
71.0,1.6855684676261686,145.0,185.0,96.0,0.0,0,0.0,,,,,,
72.0,1.6959851342928354,146.0,185.0,96.0,0.0,0,0.0,,,,,,
73.0,1.7064018009595021,147.0,185.0,96.0,0.0,0,0.0,,,,,,
74.0,1.7168184676261689,148.0,185.0,96.0,0.0,0,0.0,,,,,,
75.0,1.7272351342928356,149.0,185.0,96.0,0.0,0,0.0,,,,,,
76.0,1.7376518009595023,150.0,185.0,96.0,0.0,0,0.0,,,,,,
77.0,1.748068467626169,151.0,185.0,96.0,0.0,0,0.0,,,,,,
78.0,1.7584851342928358,152.0,185.0,96.0,0.0,0,0.0,,,,,,
79.0,1.7689018009595026,153.0,185.0,96.0,0.0,0,0.0,,,,,,
80.0,1.7793184676261693,154.0,185.0,96.0,0.0,0,0.0,,,,,,
81.0,1.789735134292836,155.0,185.0,96.0,0.0,0,0.0,,,,,,
82.0,1.8001518009595028,156.0,185.0,96.0,0.0,0,0.0,,,,,,
83.0,1.8105684676261695,157.0,185.0,96.0,0.0,0,0.0,,,,,,
84.0,1.8209851342928363,158.0,185.0,96.0,0.0,0,0.0,,,,,,
85.0,1.831401800959503,159.0,185.0,96.0,0.0,0,0.0,,,,,,
86.0,1.8418184676261697,160.0,185.0,96.0,0.0,0,0.0,,,,,,
87.0,1.8522351342928365,161.0,185.0,96.0,0.0,0,-0.0,,,,,,
88.0,1.8626518009595032,162.0,185.0,96.0,0.0,0,-0.0,,,,,,
89.0,1.87306846762617,163.0,185.0,96.0,0.0,0,-0.0,,,,,,
90.0,1.8834851342928367,164.0,185.0,96.0,0.0,0,-0.0,,,,,,
91.0,1.8939018009595034,165.0,185.0,96.0,0.0,0,-0.0,,,,,,
92.0,1.9043184676261702,166.0,185.0,96.0,0.0,0,-0.0,,,,,,
93.0,1.914735134292837,167.0,185.0,96.0,0.0,0,-0.0,,,,,,
94.0,1.9251518009595037,168.0,185.0,96.0,0.0,0,-0.0,,,,,,
95.0,1.9355684676261704,169.0,185.0,96.0,0.0,0,-0.0,,,,,,
96.0,1.9459851342928371,170.0,185.0,96.0,0.0,0,-0.0,,,,,,
97.0,1.956401800959504,171.0,185.0,96.0,0.0,0,-0.0,,,,,,
98.0,1.9668184676261706,172.0,185.0,96.0,0.0,0,-0.0,,,,,,
99.0,1.9772351342928374,173.0,185.0,96.0,0.0,0,-0.0,,,,,,
100.0,1.9876518009595041,174.0,185.0,96.0,0.0,0,-0.0,,,,,,
101.0,1.9980684676261709,175.0,185.0,96.0,0.0,0,-0.0,,,,,,
102.0,2.0084851342928376,176.0,185.0,96.0,0.0,0,-0.0,,,,,,
103.0,2.018901800959504,177.0,185.0,96.0,0.0,0,-0.0,,,,,,
104.0,2.0293184676261706,178.0,185.0,96.0,0.0,0,-0.0,,,,,,
105.0,2.039735134292837,179.0,185.0,96.0,0.0,0,0.0,,,,,,
106.0,2.0501518009595037,180.0,185.0,96.0,0.0,0,0.0,,,,,,
107.0,2.06056846762617,181.0,185.0,96.0,0.0,0,0.0,,,,,,
108.0,2.0709851342928367,182.0,185.0,96.0,0.0,0,0.0,,,,,,
109.0,2.0814018009595032,183.0,185.0,96.0,0.0,0,0.0,,,,,,
110.0,2.0918184676261697,184.0,185.0,96.0,0.0,0,0.0,,,,,,
111.0,2.1022351342928363,185.0,185.0,96.0,0.0,0,0.0,,,,,,
112.0,2.112651800959503,186.0,185.0,96.0,0.0,0,0.0,,,,,,
113.0,2.1230684676261693,187.0,185.0,96.0,0.0,0,0.0,,,,,,
114.0,2.133485134292836,188.0,185.0,96.0,0.0,0,0.0,,,,,,
115.0,2.1439018009595023,189.0,185.0,96.0,0.0,0,0.0,,,,,,
116.0,2.154318467626169,190.0,185.0,96.0,0.0,0,0.0,,,,,,
117.0,2.1647351342928354,191.0,185.0,96.0,0.0,0,0.0,,,,,,
118.0,2.175151800959502,192.0,185.0,96.0,0.0,0,0.0,,,,,,
119.0,2.1855684676261684,193.0,185.0,96.0,0.0,0,0.0,,,,,,
120.0,2.195985134292835,194.0,185.0,96.0,0.0,0,0.0,,,,,,
121.0,2.2064018009595014,195.0,185.0,96.0,0.0,0,0.0,,,,,,
122.0,2.216818467626168,196.0,185.0,96.0,0.0,0,0.0,,,,,,
123.0,2.2272351342928345,197.0,185.0,96.0,0.0,0,0.0,,,,,,
124.0,2.237651800959501,198.0,185.0,96.0,0.0,0,0.0,,,,,,
125.0,2.2480684676261675,199.0,185.0,96.0,0.0,0,0.0,,,,,,
126.0,2.2585410049564913,200.0,185.0,94.97568592177252,0.0,0,0.0,,,,,,
127.00000000000001,2.26912710111263,200.9999256477935,185.012194215217,93.95137184354503,0.0,0,0.0,,,,,,
128.00000000000003,2.2798292458394775,201.999851295587,185.024388430434,92.92705776531754,0.0,0,0.0,,,,,,
129.00000000000003,2.2906500116699,202.9997769433805,185.03658264565098,91.90274368709007,0.0,0,0.0,,,,,,
130.00000000000003,2.3015920576363174,203.999702591174,185.04877686086797,90.87842960886259,0.0,0,0.0,,,,,,
131.00000000000003,2.312658133192639,204.99962823896752,185.06097107608497,89.85411553063511,0.0,0,0.0,,,,,,
132.00000000000003,2.323851082361029,205.99955388676102,185.07316529130196,88.82980145240764,0.0,0,0.0,,,,,,
133.00000000000003,2.3351738481191413,206.99947953455452,185.08535950651896,87.80548737418016,0.0,0,0.0,,,,,,
134.00000000000003,2.34662947704476,207.99940518234803,185.09755372173595,86.78117329595268,0.0,0,0.0,,,,,,
135.00000000000003,2.3582211242361786,208.99933083014153,185.10974793695294,85.75685921772521,0.0,0,0.0,,,,,,
136.00000000000003,2.3699520585281975,209.99925647793503,185.12194215216994,84.73254513949773,0.0,0,0.0,,,,,,
137.00000000000003,2.381825668025319,210.99918212572854,185.13413636738693,83.70823106127025,0.0,0,0.0,,,,,,
138.00000000000003,2.3938454659755646,211.99910777352204,185.14633058260392,82.68391698304278,0.0,0,0.0,,,,,,
139.00000000000003,2.4060150970103917,212.99903342131554,185.15852479782092,81.6596029048153,0.0,0,0.0,,,,,,
140.00000000000003,2.4183383437784416,213.99895906910905,185.1707190130379,80.63528882658782,0.0,0,0.0,,,,,,
141.00000000000003,2.430819134003323,214.99888471690255,185.1829132282549,79.61097474836035,0.0,0,0.0,,,,,,
142.00000000000003,2.4434615479983823,215.99881036469606,185.1951074434719,78.58666067013287,0.0,0,0.0,,,,,,
143.00000000000003,2.4562698266744274,216.99873601248956,185.2073016586889,77.5623465919054,0.0,0,0.0,,,,,,
144.00000000000003,2.469248380079735,217.99866166028306,185.21949587390588,76.53803251367792,0.0,0,0.0,,,,,,
145.00000000000003,2.482401796515361,218.99858730807657,185.23169008912288,75.51371843545044,0.0,0,0.0,,,,,,
146.00000000000003,2.495734852272902,219.99851295587007,185.24388430433987,74.48940435722297,0.0,0,0.0,,,,,,
147.00000000000003,2.509252522046419,220.99843860366357,185.25607851955687,73.46509027899549,0.0,0,0.0,,,,,,
148.00000000000003,2.522959990075317,221.99836425145708,185.26827273477386,72.44077620076801,0.0,0,0.0,,,,,,
149.00000000000003,2.5368626620806363,222.99828989925058,185.28046694999085,71.41646212254054,0.0,0,0.0,,,,,,
150.00000000000003,2.5509661780635287,223.99821554704408,185.29266116520785,70.39214804431306,0.0,0,0.0,,,,,,
151.00000000000003,2.565276426041746,224.9981411948376,185.30485538042484,69.36783396608558,0.0,0,0.0,,,,,,
152.00000000000003,2.579799556807864,225.9980668426311,185.31704959564183,68.34351988785811,0.0,0,0.0,,,,,,
153.00000000000003,2.594541999801821,226.9979924904246,185.32924381085883,67.31920580963063,0.0,0,0.0,,,,,,
154.00000000000003,2.6095104802002744,227.9979181382181,185.34143802607582,66.29489173140315,0.0,0,0.0,,,,,,
155.00000000000003,2.6247120373364696,228.9978437860116,185.35363224129281,65.27057765317568,0.0,0,0.0,,,,,,
156.00000000000003,2.6401540445768816,229.9977694338051,185.3658264565098,64.2462635749482,0.0,0,0.0,,,,,,
157.00000000000003,2.6558442307951156,230.9976950815986,185.3780206717268,63.22194949672072,0.0,0,0.0,,,,,,
158.00000000000003,2.6717907035995987,231.9976207293921,185.3902148869438,62.197635418493235,0.0,0,0.0,,,,,,
159.00000000000003,2.688001974489804,232.9975463771856,185.4024091021608,61.17332134026575,0.0,0,0.0,,,,,,
160.00000000000003,2.7044869861363905,233.99747202497912,185.41460331737778,60.14900726203827,0.0,0,0.0,,,,,,
161.00000000000003,2.7212551420041464,234.99739767277262,185.42679753259478,59.124693183810784,0.0,0,0.0,,,,,,
162.00000000000003,2.7383163385633824,235.99732332056612,185.43899174781177,58.1003791055833,0.0,0,0.0,,,,,,
163.00000000000003,2.75568100036603,236.99724896835963,185.45118596302876,57.07606502735582,0.0,0,0.0,,,,,,
164.00000000000003,2.7733601182976955,237.99717461615313,185.46338017824576,56.05175094912833,0.0,0,0.0,,,,,,
165.00000000000003,2.7913652913571205,238.99710026394663,185.47557439346275,55.02743687090085,0.0,0,0.0,,,,,,
166.00000000000003,2.8097087723607146,239.99702591174014,185.48776860867974,54.003122792673366,0.0,0,0.0,,,,,,
167.00000000000003,2.8284035180231344,240.99695155953364,185.49996282389674,52.97880871444588,0.0,0,0.0,,,,,,
168.00000000000003,2.8474632439265153,241.99687720732715,185.51215703911373,51.9544946362184,0.0,0,0.0,,,,,,
169.00000000000003,2.8669024849624103,242.99680285512065,185.52435125433072,50.930180557990916,0.0,0,0.0,,,,,,
170.00000000000003,2.8867366619135475,243.99672850291415,185.53654546954772,49.90586647976343,0.0,0,0.0,,,,,,
171.00000000000003,2.9069821549393664,244.99665415070766,185.5487396847647,48.88155240153595,0.0,0,0.0,,,,,,
172.00000000000003,2.9276563848425354,245.99657979850116,185.5609338999817,47.857238323308465,0.0,0,0.0,,,,,,
173.00000000000003,2.948777903126502,246.99650544629466,185.5731281151987,46.83292424508098,0.0,0,0.0,,,,,,
174.00000000000003,2.970366492010478,247.99643109408817,185.5853223304157,45.8086101668535,0.0,0,0.0,,,,,,
175.00000000000003,2.992443275752903,248.99635674188167,185.5975165456327,44.784296088626014,0.0,0,-0.0,,,,,,
176.00000000000003,3.015030844853227,249.99628238967517,185.60971076084968,43.75998201039853,0.0,0,-0.0,,,,,,
177.00000000000003,3.038153394962139,250.99620803746868,185.62190497606667,42.73566793217105,0.0,0,-0.0,,,,,,
178.00000000000003,3.0618368826411424,251.99613368526218,185.63409919128367,41.711353853943564,0.0,0,-0.0,,,,,,
179.00000000000003,3.086109200484971,252.99605933305568,185.64629340650066,40.68703977571608,0.0,0,-0.0,,,,,,
180.00000000000003,3.1110003745689445,253.9959849808492,185.65848762171765,39.6627256974886,0.0,0,-0.0,,,,,,
181.00000000000003,3.13654278772585,254.9959106286427,185.67068183693465,38.63841161926111,0.0,0,-0.0,,,,,,
182.00000000000003,3.1627714328160157,255.9958362764362,185.68287605215164,37.61409754103363,0.0,0,-0.0,,,,,,
183.0,3.189724200958917,256.99576192422967,185.69507026736864,36.589783462806174,0.0,0,-0.0,,,,,,
183.99999999999997,3.217442210682064,257.99568757202314,185.70726448258563,35.56546938457872,0.0,0,-0.0,,,,,,
184.99999999999994,3.2459701851611817,258.9956132198166,185.71945869780262,34.541155306351264,0.0,0,-0.0,,,,,,
185.99999999999991,3.275356886237327,259.9955388676101,185.73165291301962,33.51684122812381,0.0,0,-0.0,,,,,,
186.9999999999999,3.3056556157835093,260.99546451540357,185.7438471282366,32.492527149896354,0.0,0,-0.0,,,,,,
187.99999999999986,3.3369247973638316,261.99539016319704,185.7560413434536,31.4682130716689,0.0,0,-0.0,,,,,,
