Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Rotational Velocity (deg/s),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,90.0,130.0,0.0,0.0,0,0.0,90.0,130.0,0.0,0.0,3.0,0.0
1.0,0.16666666666666666,91.0,130.0,12.0,0.0,0,0.0,162.0,130.0,240.0,0.0,3.0,0.0
2.0,0.25,92.0,130.0,12.0,0.0,0,0.0,240.0,130.0,0.0,0.0,3.0,0.0
3.0,0.3333333333333333,93.0,130.0,12.0,0.0,0,0.0,,,,,,
4.0,0.41666666666666663,94.0,130.0,12.0,0.0,0,0.0,,,,,,
5.0,0.49999999999999994,95.0,130.0,12.0,0.0,0,0.0,,,,,,
6.0,0.5833333333333333,96.0,130.0,12.0,0.0,0,0.0,,,,,,
7.0,0.6640429548975273,97.0,130.0,12.780193008453876,0.0,0,0.0,,,,,,
8.0,0.7370726292315495,98.0,130.0,14.60593486680443,0.0,0,-0.0,,,,,,
9.0,0.8015105771733337,99.0,130.0,16.431676725154983,0.0,0,-0.0,,,,,,
10.0,0.8591655832265092,100.0,130.0,18.257418583505537,0.0,0,-0.0,,,,,,
11.0,0.9113296363222393,101.0,130.0,20.08316044185609,0.0,0,-0.0,,,,,,
12.0,0.9589576848009493,102.0,130.0,21.908902300206645,0.0,0,-0.0,,,,,,
13.0,1.0027754894013627,103.0,130.0,23.7346441585572,0.0,0,-0.0,,,,,,
14.0,1.0433475306980418,104.0,130.0,25.560386016907753,0.0,0,-0.0,,,,,,
15.0,1.0811215001811567,105.0,130.0,27.386127875258307,0.0,0,-0.0,,,,,,
16.0,1.1164584393750383,106.0,130.0,29.21186973360886,0.0,0,-0.0,,,,,,
17.0,1.149653745890503,107.0,130.0,31.037611591959415,0.0,0,-0.0,,,,,,
18.0,1.180952177747941,108.0,130.0,32.863353450309965,0.0,0,-0.0,,,,,,
19.0,1.2105588024779501,109.0,130.0,34.68909530866052,0.0,0,-0.0,,,,,,
20.0,1.2386471387602662,110.0,130.0,36.51483716701107,0.0,0,-0.0,,,,,,
21.0,1.2653653122971036,111.0,130.0,38.34057902536163,0.0,0,-0.0,,,,,,
22.0,1.2908407800880415,112.0,130.0,40.16632088371218,0.0,0,-0.0,,,,,,
23.0,1.3151840048660488,113.0,130.0,41.992062742062735,0.0,0,0.0,,,,,,
24.0,1.3384913477386091,114.0,130.0,43.81780460041329,0.0,0,0.0,,,,,,
25.0,1.3608473704939221,115.0,130.0,45.64354645876384,0.0,0,0.0,,,,,,
26.0,1.382326686474517,116.0,130.0,47.4692883171144,0.0,0,0.0,,,,,,
27.0,1.402995462229429,117.0,130.0,49.29503017546495,0.0,0,0.0,,,,,,
28.0,1.4229126461387076,118.0,130.0,51.120772033815506,0.0,0,0.0,,,,,,
29.0,1.442130981489766,119.0,130.0,52.94651389216606,0.0,0,0.0,,,,,,
30.0,1.4606978478458734,120.0,130.0,54.772255750516614,0.0,0,0.0,,,,,,
31.0,1.4786559644853872,121.0,130.0,56.59799760886717,0.0,0,0.0,,,,,,
32.0,1.496043982183964,122.0,130.0,58.42373946721772,0.0,0,0.0,,,,,,
33.0,1.5128969839533537,123.0,130.0,60.249481325568276,0.0,0,0.0,,,,,,
34.0,1.5292469110430602,124.0,130.0,62.07522318391883,0.0,0,0.0,,,,,,
35.0,1.5451229272026303,125.0,130.0,63.900965042269384,0.0,0,0.0,,,,,,
36.0,1.5605517316393955,126.0,130.0,65.72670690061993,0.0,0,0.0,,,,,,
37.0,1.5755578291052905,127.0,130.0,67.55244875897048,0.0,0,0.0,,,,,,
38.0,1.590163763972095,128.0,130.0,69.37819061732104,0.0,0,0.0,,,,,,
39.0,1.604390323907294,129.0,130.0,71.20393247567159,0.0,0,0.0,,,,,,
40.0,1.6182567177681844,130.0,130.0,73.02967433402215,0.0,0,0.0,,,,,,
41.0,1.631780731533744,131.0,130.0,74.8554161923727,0.0,0,0.0,,,,,,
42.0,1.6449788654495312,132.0,130.0,76.68115805072325,0.0,0,0.0,,,,,,
43.0,1.657866455037888,133.0,130.0,78.50689990907381,0.0,0,0.0,,,,,,
44.0,1.6704577781989265,134.0,130.0,80.33264176742436,0.0,0,0.0,,,,,,
45.0,1.6827661502776943,135.0,130.0,82.15838362577492,0.0,0,0.0,,,,,,
46.0,1.6948040086844012,136.0,130.0,83.98412548412547,0.0,0,0.0,,,,,,
47.0,1.7065829884156951,137.0,130.0,85.80986734247602,0.0,0,0.0,,,,,,
48.0,1.7181139896263302,138.0,130.0,87.63560920082658,0.0,0,0.0,,,,,,
