Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Rotational Velocity (deg/s),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,210.0,290.0,24.0,0.0,0,0.0,210.0,290.0,24.0,0.0,3.0,0.0
1.0,0.04194774239971218,211.0,290.0,23.678370410077726,0.0,0,0.0,284.62,290.0,0.0,0.0,3.0,0.0
2.0,0.08446916836616003,212.0,290.0,23.35674082015545,0.0,0,0.0,310.0,290.0,24.0,0.0,3.0,0.0
3.0,0.12758018703874277,213.0,290.0,23.035111230233177,0.0,0,0.0,,,,,,
4.0,0.17129737863979266,214.0,290.0,22.713481640310903,0.0,0,0.0,,,,,,
5.0,0.21563803275654492,215.0,290.0,22.39185205038863,0.0,0,0.0,,,,,,
6.0,0.2606201893923474,216.0,290.0,22.070222460466354,0.0,0,0.0,,,,,,
7.0,0.3062626830310242,217.0,290.0,21.74859287054408,0.0,0,0.0,,,,,,
8.0,0.3525851899837457,218.0,290.0,21.426963280621806,0.0,0,0.0,,,,,,
9.0,0.39960827931627246,219.0,290.0,21.10533369069953,0.0,0,0.0,,,,,,
10.0,0.4473534676864609,220.0,290.0,20.783704100777257,0.0,0,0.0,,,,,,
11.0,0.4958432784579311,221.0,290.0,20.462074510854983,0.0,0,0.0,,,,,,
12.0,0.5451013054963764,222.0,290.0,20.14044492093271,0.0,0,0.0,,,,,,
13.0,0.595152282100798,223.0,290.0,19.818815331010434,0.0,0,0.0,,,,,,
14.0,0.6460221555737474,224.0,290.0,19.49718574108816,0.0,0,0.0,,,,,,
15.0,0.6977381679933528,225.0,290.0,19.175556151165885,0.0,0,0.0,,,,,,
16.0,0.7503289438165373,226.0,290.0,18.85392656124361,0.0,0,0.0,,,,,,
17.0,0.8038245850186478,227.0,290.0,18.532296971321337,0.0,0,0.0,,,,,,
18.0,0.8582567745611316,228.0,290.0,18.210667381399062,0.0,0,0.0,,,,,,
19.0,0.9136588890776439,229.0,290.0,17.889037791476788,0.0,0,0.0,,,,,,
20.0,0.9700661217820465,230.0,290.0,17.567408201554514,0.0,0,0.0,,,,,,
21.0,1.0275156167315416,231.0,290.0,17.24577861163224,0.0,0,0.0,,,,,,
22.0,1.0860466157275257,232.0,290.0,16.924149021709965,0.0,0,0.0,,,,,,
23.0,1.1457006193090045,233.0,290.0,16.60251943178769,0.0,0,0.0,,,,,,
24.0,1.2065215634926247,234.0,290.0,16.280889841865417,0.0,0,0.0,,,,,,
25.0,1.268556014144394,235.0,290.0,15.959260251943144,0.0,0,0.0,,,,,,
26.0,1.3318533811367936,236.0,290.0,15.637630662020872,0.0,0,0.0,,,,,,
27.0,1.3964661547582955,237.0,290.0,15.316001072098599,0.0,0,0.0,,,,,,
28.0,1.4624501672087766,238.0,290.0,14.994371482176327,0.0,0,0.0,,,,,,
29.0,1.5298648824443941,239.0,290.0,14.672741892254054,0.0,0,0.0,,,,,,
30.0,1.5987737181417938,240.0,290.0,14.351112302331781,0.0,0,0.0,,,,,,
31.0,1.6692444041496513,241.0,290.0,14.029482712409509,0.0,0,0.0,,,,,,
32.0,1.7413493825046298,242.0,290.0,13.707853122487236,0.0,0,0.0,,,,,,
33.0,1.8151662549326135,243.0,290.0,13.386223532564964,0.0,0,0.0,,,,,,
34.0,1.8907782847640016,244.0,290.0,13.064593942642691,0.0,0,-0.0,,,,,,
35.0,1.9682749614007582,245.0,290.0,12.742964352720419,0.0,0,-0.0,,,,,,
36.0,2.0477526369290473,246.0,290.0,12.421334762798146,0.0,0,-0.0,,,,,,
37.0,2.129315246233,247.0,290.0,12.099705172875874,0.0,0,-0.0,,,,,,
38.0,2.212303813340078,248.0,290.0,12.0,0.0,0,-0.0,,,,,,
39.0,2.2956371466734113,249.0,290.0,12.0,0.0,0,-0.0,,,,,,
40.0,2.378970480006745,250.0,290.0,12.0,0.0,0,-0.0,,,,,,
41.0,2.4623038133400783,251.0,290.0,12.0,0.0,0,-0.0,,,,,,
42.0,2.545637146673412,252.0,290.0,12.0,0.0,0,-0.0,,,,,,
43.0,2.6289704800067453,253.0,290.0,12.0,0.0,0,-0.0,,,,,,
44.0,2.7123038133400788,254.0,290.0,12.0,0.0,0,-0.0,,,,,,
45.0,2.7956371466734122,255.0,290.0,12.0,0.0,0,-0.0,,,,,,
46.0,2.8789704800067457,256.0,290.0,12.0,0.0,0,-0.0,,,,,,
47.0,2.962303813340079,257.0,290.0,12.0,0.0,0,-0.0,,,,,,
48.0,3.0456371466734127,258.0,290.0,12.0,0.0,0,-0.0,,,,,,
49.0,3.128970480006746,259.0,290.0,12.0,0.0,0,-0.0,,,,,,
50.0,3.2123038133400796,260.0,290.0,12.0,0.0,0,-0.0,,,,,,
51.0,3.295637146673413,261.0,290.0,12.0,0.0,0,-0.0,,,,,,
52.0,3.3789704800067466,262.0,290.0,12.0,0.0,0,-0.0,,,,,,
53.0,3.46230381334008,263.0,290.0,12.0,0.0,0,0.0,,,,,,
