Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Rotational Velocity (deg/s),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,85.0,290.0,12.0,0.0,0,0.0,85.0,290.0,12.0,0.0,3.0,0
1.0,0.08333333333333333,86.0,290.0,12.0,0.0,0,0.0,200.0,290.0,12.0,0.0,40.0,0
2.0,0.16666666666666666,87.0,290.0,12.0,0.0,0,0.0,200.0,100.0,12.0,0.0,20.0,0
3.0,0.25,88.0,290.0,12.0,0.0,0,0.0,85.0,100.0,12.0,0.0,4.0,0
4.0,0.3333333333333333,89.0,290.0,12.0,0.0,0,0.0,85.0,290.0,12.0,0.0,3.0,0
5.0,0.41666666666666663,90.0,290.0,12.0,0.0,0,0.0,,,,,,
6.0,0.49999999999999994,91.0,290.0,12.0,0.0,0,0.0,,,,,,
7.0,0.5833333333333333,92.0,290.0,12.0,0.0,0,0.0,,,,,,
8.0,0.6666666666666666,93.0,290.0,12.0,0.0,0,0.0,,,,,,
9.0,0.75,94.0,290.0,12.0,0.0,0,0.0,,,,,,
10.0,0.8333333333333334,95.0,290.0,12.0,0.0,0,0.0,,,,,,
11.0,0.9166666666666667,96.0,290.0,12.0,0.0,0,0.0,,,,,,
12.0,1.0,97.0,290.0,12.0,0.0,0,0.0,,,,,,
13.0,1.0833333333333333,98.0,290.0,12.0,0.0,0,0.0,,,,,,
14.0,1.1666666666666665,99.0,290.0,12.0,0.0,0,0.0,,,,,,
15.0,1.2499999999999998,100.0,290.0,12.0,0.0,0,0.0,,,,,,
16.0,1.333333333333333,101.0,290.0,12.0,0.0,0,0.0,,,,,,
17.0,1.4166666666666663,102.0,290.0,12.0,0.0,0,0.0,,,,,,
18.0,1.4999999999999996,103.0,290.0,12.0,0.0,0,0.0,,,,,,
19.0,1.5833333333333328,104.0,290.0,12.0,0.0,0,0.0,,,,,,
20.0,1.666666666666666,105.0,290.0,12.0,0.0,0,0.0,,,,,,
21.0,1.7499999999999993,106.0,290.0,12.0,0.0,0,0.0,,,,,,
22.0,1.8333333333333326,107.0,290.0,12.0,0.0,0,0.0,,,,,,
23.0,1.9166666666666659,108.0,290.0,12.0,0.0,0,0.0,,,,,,
24.0,1.9999999999999991,109.0,290.0,12.0,0.0,0,0.0,,,,,,
25.0,2.0833333333333326,110.0,290.0,12.0,0.0,0,0.0,,,,,,
26.0,2.166666666666666,111.0,290.0,12.0,0.0,0,0.0,,,,,,
27.0,2.2499999999999996,112.0,290.0,12.0,0.0,0,0.0,,,,,,
28.0,2.333333333333333,113.0,290.0,12.0,0.0,0,0.0,,,,,,
29.0,2.4166666666666665,114.0,290.0,12.0,0.0,0,0.0,,,,,,
30.0,2.5,115.0,290.0,12.0,0.0,0,0.0,,,,,,
31.0,2.5833333333333335,116.0,290.0,12.0,0.0,0,0.0,,,,,,
32.0,2.666666666666667,117.0,290.0,12.0,0.0,0,0.0,,,,,,
33.0,2.7500000000000004,118.0,290.0,12.0,0.0,0,0.0,,,,,,
34.0,2.833333333333334,119.0,290.0,12.0,0.0,0,0.0,,,,,,
35.0,2.9166666666666674,120.0,290.0,12.0,0.0,0,0.0,,,,,,
36.0,3.000000000000001,121.0,290.0,12.0,0.0,0,0.0,,,,,,
37.0,3.0833333333333344,122.0,290.0,12.0,0.0,0,0.0,,,,,,
38.0,3.166666666666668,123.0,290.0,12.0,0.0,0,-0.0,,,,,,
39.0,3.2500000000000013,124.0,290.0,12.0,0.0,0,-0.0,,,,,,
40.0,3.333333333333335,125.0,290.0,12.0,0.0,0,-0.0,,,,,,
41.0,3.4166666666666683,126.0,290.0,12.0,0.0,0,-0.0,,,,,,
42.0,3.5000000000000018,127.0,290.0,12.0,0.0,0,-0.0,,,,,,
43.0,3.5833333333333353,128.0,290.0,12.0,0.0,0,-0.0,,,,,,
44.0,3.6666666666666687,129.0,290.0,12.0,0.0,0,-0.0,,,,,,
45.0,3.750000000000002,130.0,290.0,12.0,0.0,0,-0.0,,,,,,
46.0,3.8333333333333357,131.0,290.0,12.0,0.0,0,-0.0,,,,,,
47.0,3.916666666666669,132.0,290.0,12.0,0.0,0,-0.0,,,,,,
48.0,4.000000000000003,133.0,290.0,12.0,0.0,0,-0.0,,,,,,
49.0,4.083333333333336,134.0,290.0,12.0,0.0,0,-0.0,,,,,,
50.0,4.166666666666669,135.0,290.0,12.0,0.0,0,-0.0,,,,,,
51.0,4.250000000000002,136.0,290.0,12.0,0.0,0,-0.0,,,,,,
52.0,4.333333333333335,137.0,290.0,12.0,0.0,0,-0.0,,,,,,
53.0,4.416666666666668,138.0,290.0,12.0,0.0,0,-0.0,,,,,,
54.0,4.500000000000001,139.0,290.0,12.0,0.0,0,-0.0,,,,,,
55.0,4.583333333333334,140.0,290.0,12.0,0.0,0,-0.0,,,,,,
56.0,4.666666666666667,141.0,290.0,12.0,0.0,0,-0.0,,,,,,
57.0,4.75,142.0,290.0,12.0,0.0,0,-0.0,,,,,,
58.0,4.833333333333333,143.0,290.0,12.0,0.0,0,-0.0,,,,,,
59.0,4.916666666666666,144.0,290.0,12.0,0.0,0,-0.0,,,,,,
60.0,4.999999999999999,145.0,290.0,12.0,0.0,0,-0.0,,,,,,
61.0,5.083333333333332,146.0,290.0,12.0,0.0,0,-0.0,,,,,,
62.0,5.166666666666665,147.0,290.0,12.0,0.0,0,-0.0,,,,,,
63.0,5.249999999999998,148.0,290.0,12.0,0.0,0,-0.0,,,,,,
64.0,5.333333333333331,149.0,290.0,12.0,0.0,0,-0.0,,,,,,
65.0,5.416666666666664,150.0,290.0,12.0,0.0,0,-0.0,,,,,,
66.0,5.499999999999997,151.0,290.0,12.0,0.0,0,-0.0,,,,,,
67.0,5.58333333333333,152.0,290.0,12.0,0.0,0,-0.0,,,,,,
68.0,5.666666666666663,153.0,290.0,12.0,0.0,0,-0.0,,,,,,
69.0,5.7499999999999964,154.0,290.0,12.0,0.0,0,0.0,,,,,,
70.0,5.8333333333333295,155.0,290.0,12.0,0.0,0,0.0,,,,,,
71.0,5.9166666666666625,156.0,290.0,12.0,0.0,0,0.0,,,,,,
72.0,5.999999999999996,157.0,290.0,12.0,0.0,0,0.0,,,,,,
73.0,6.083333333333329,158.0,290.0,12.0,0.0,0,0.0,,,,,,
74.0,6.166666666666662,159.0,290.0,12.0,0.0,0,0.0,,,,,,
75.0,6.249999999999995,160.0,290.0,12.0,0.0,0,0.0,,,,,,
75.99997395853677,6.333331163211392,160.99989583658848,289.9875006510281,12.0,0.0,0,0.0,,,,,,
76.99994791707356,6.416662326422791,161.99916677082712,289.95001041579866,12.0,0.0,0,0.0,,,,,,
77.99992187561035,6.499993489634191,162.9971882909097,289.8875527244883,12.0,0.0,0,0.0,,,,,,
78.99989583414711,6.5833246528455875,163.9933366658731,289.800166611121,12.0,0.0,0,0.0,,,,,,
79.9998697926839,6.666655816056986,164.98698933540908,289.68790668917313,12.0,0.0,0,0.0,,,,,,
80.9998437512207,6.749986979268386,165.97752529894396,289.5508431174417,12.0,0.0,0,0.0,,,,,,
81.99981770975747,6.833318142479784,166.96432550374382,289.38906155619736,12.0,0.0,0,0.0,,,,,,
82.99979166829422,6.91664930569118,167.9467732318024,289.2026631136497,12.0,0.0,0,0.0,,,,,,
83.999765626831,6.999980468902579,168.92425448526978,288.99176428275774,12.0,0.0,0,0.0,,,,,,
84.9997395853678,7.083311632113979,169.8961583701809,288.7564968684258,12.0,0.0,0,0.0,,,,,,
85.99971354390458,7.166642795325377,170.86187747824448,288.4970079051295,12.0,0.0,0,0.0,,,,,,
86.99968750244136,7.249973958536775,171.82080826645355,288.21345956502427,12.0,0.0,0,0.0,,,,,,
87.99966146097813,7.333305121748173,172.77235143427998,287.9060290565926,12.0,0.0,0,0.0,,,,,,
88.9996354195149,7.41663628495957,173.715912298218,287.5749085138952,12.0,0.0,0,0.0,,,,,,
89.9996093780517,7.49996744817097,174.65090116344186,287.2203048764926,12.0,0.0,0,0.0,,,,,,
90.99958333658849,7.583298611382369,175.57673369234598,286.84243976011544,12.0,0.0,0,0.0,,,,,,
91.99955729512526,7.666629774593766,176.49283126973694,286.4415493181614,12.0,0.0,0,0.0,,,,,,
92.99953125366204,7.749960937805165,177.39862136444916,286.0178840941071,12.0,0.0,0,0.0,,,,,,
93.9995052121988,7.8332921010165615,178.29353788715815,285.5717088649268,12.0,0.0,0,0.0,,,,,,
94.99947917073561,7.916623264227963,179.17702154416807,285.10330247561495,12.0,0.0,0,0.0,,,,,,
95.9994531292724,7.999954427439361,180.04852018695186,284.6129576649177,12.0,0.0,0,0.0,,,,,,
96.99942708780918,8.08328559065076,180.9074891572263,284.10098088238027,12.0,0.0,0,0.0,,,,,,
97.99940104634598,8.16661675386216,181.75339162734565,283.5676920968262,12.0,0.0,0,0.0,,,,,,
98.99937500488276,8.249947917073559,182.58569893580136,283.01342459638715,12.0,0.0,0,0.0,,,,,,
99.99934896341952,8.333279080284955,183.4038909176184,282.43852478020875,12.0,0.0,0,0.0,,,,,,
100.99932292195632,8.416610243496354,184.20745622944153,281.8433519419623,12.0,0.0,0,0.0,,,,,,
101.99929688049309,8.499941406707752,184.99589266910795,281.22827804529794,12.0,0.0,0,0.0,,,,,,
102.99927083902989,8.583272569919151,185.7687074895076,280.59368749137957,12.0,0.0,0,0.0,,,,,,
103.99924479756667,8.66660373313055,186.52541770653394,279.93997687864663,12.0,0.0,0,0.0,,,,,,
104.99921875610345,8.749934896341948,187.2655504009333,279.26755475495287,12.0,0.0,0,0.0,,,,,,
105.99919271464022,8.833266059553345,187.98864301386408,278.5768413622373,12.0,0.0,0,0.0,,,,,,
106.999166673177,8.916597222764745,188.69424363598085,277.8682683738867,12.0,0.0,0,0.0,,,,,,
107.99914063171381,8.999928385976146,189.3819112898631,277.14227862495363,12.0,0.0,0,0.0,,,,,,
108.99911459025058,9.083259549187543,190.05121620561167,276.39932583539934,12.0,0.0,0,0.0,,,,,,
109.99908854878737,9.166590712398943,190.70174008944105,275.63987432653306,12.0,0.0,0,0.0,,,,,,
110.99906250732417,9.249921875610342,191.3330763850993,274.8643987308266,12.0,0.0,0,0.0,,,,,,
111.99903646586091,9.333253038821738,191.94483052795252,274.0733836952846,12.0,0.0,0,0.0,,,,,,
112.99901042439774,9.41658420203314,192.5366201915749,273.26732357855536,12.0,0.0,0,0.0,,,,,,
113.99898438293448,9.499915365244537,193.10807552669027,272.44672214197374,12.0,0.0,0,0.0,,,,,,
114.99895834147128,9.583246528455936,193.65883939231583,271.61209223472565,12.0,0.0,0,0.0,,,,,,
115.9989323000081,9.666577691667337,194.1885675789637,270.7639554733348,12.0,0.0,0,0.0,,,,,,
116.99890625854488,9.749908854878736,194.69692902376065,269.9028419156691,12.0,0.0,0,0.0,,,,,,
117.99888021708168,9.833240018090136,195.18360601735154,269.0292897296716,12.0,0.0,0,0.0,,,,,,
118.99885417561842,9.916571181301531,195.6482944024574,268.14384485702317,12.0,0.0,0,0.0,,,,,,
119.9988281341552,9.99990234451293,196.09070376396377,267.2470606719467,12.0,0.0,0,0.0,,,,,,
120.998802092692,10.08323350772433,196.51055761042082,266.33949763536634,12.0,0.0,0,0.0,,,,,,
121.99877605122877,10.166564670935728,196.9075935468413,265.4217229446375,12.0,0.0,0,0.0,,,,,,
122.99875000976559,10.249895834147129,197.28156343868903,264.494310179067,12.0,0.0,0,0.0,,,,,,
123.99872396830237,10.333226997358528,197.63223356695488,263.55783894144474,12.0,0.0,0,0.0,,,,,,
124.99869792683916,10.416558160569927,197.95938477422345,262.6128944958108,12.0,0.0,0,0.0,,,,,,
125.99867188537596,10.499889323781327,198.26281260163944,261.6600674016844,12.0,0.0,0,0.0,,,,,,
126.9986458439127,10.583220486992722,198.5423274166877,260.69995314498357,12.0,0.0,0,0.0,,,,,,
127.99861980244953,10.666551650204125,198.79775453170748,259.73315176586556,12.0,0.0,0,0.0,,,,,,
128.9985937609863,10.749882813415523,199.02893431306634,258.7602674837217,12.0,0.0,0,0.0,,,,,,
129.99856771952307,10.83321397662692,199.2357222809262,257.78190831955953,12.0,0.0,0,0.0,,,,,,
130.99854167805984,10.916545139838318,199.4179891995384,256.7986857160097,12.0,0.0,0,0.0,,,,,,
131.9985156365966,10.999876303049716,199.5756211580118,255.8112141551941,12.0,0.0,0,0.0,,,,,,
132.9984895951334,11.083207466261115,199.70851964150353,254.8201107746947,12.0,0.0,0,0.0,,,,,,
133.99846355367018,11.166538629472512,199.81660159278744,253.82599498186252,12.0,0.0,0,0.0,,,,,,
134.99843751220698,11.249869792683912,199.8997994641622,252.82948806670817,12.0,0.0,0,0.0,,,,,,
135.99841147074375,11.33320095589531,199.95806125966635,251.83121281361593,12.0,0.0,0,0.0,,,,,,
136.99841147074375,11.416534289228643,199.95806125966635,250.83121281361593,12.0,0.0,0,0.0,,,,,,
137.99841147074375,11.499867622561977,199.95806125966635,249.83121281361593,12.0,0.0,0,0.0,,,,,,
138.99841147074375,11.583200955895311,199.95806125966635,248.83121281361593,12.0,0.0,0,0.0,,,,,,
139.99841147074375,11.666534289228645,199.95806125966635,247.83121281361593,12.0,0.0,0,0.0,,,,,,
140.99841147074375,11.749867622561979,199.95806125966635,246.83121281361593,12.0,0.0,0,0.0,,,,,,
141.99841147074375,11.833200955895313,199.95806125966635,245.83121281361593,12.0,0.0,0,0.0,,,,,,
142.99841147074375,11.916534289228647,199.95806125966635,244.83121281361593,12.0,0.0,0,0.0,,,,,,
143.99841147074375,11.99986762256198,199.95806125966635,243.83121281361593,12.0,0.0,0,0.0,,,,,,
144.99841147074375,12.083200955895315,199.95806125966635,242.83121281361593,12.0,0.0,0,0.0,,,,,,
145.99841147074375,12.166534289228649,199.95806125966635,241.83121281361593,12.0,0.0,0,0.0,,,,,,
146.99841147074375,12.249867622561982,199.95806125966635,240.83121281361593,12.0,0.0,0,0.0,,,,,,
