Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Rotational Velocity (deg/s),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,225.0,100.0,12.0,0.0,0,0.0,225.0,100.0,12.0,0.0,3.0,0
1.0,0.08333333333333333,226.0,100.0,12.0,0.0,0,0.0,400.0,100.0,12.0,0.0,3.0,0
2.0,0.16666666666666666,227.0,100.0,12.0,0.0,0,0.0,,,,,,
3.0,0.25,228.0,100.0,12.0,0.0,0,0.0,,,,,,
4.0,0.3333333333333333,229.0,100.0,12.0,0.0,0,0.0,,,,,,
5.0,0.41666666666666663,230.0,100.0,12.0,0.0,0,0.0,,,,,,
6.0,0.49999999999999994,231.0,100.0,12.0,0.0,0,0.0,,,,,,
7.0,0.5833333333333333,232.0,100.0,12.0,0.0,0,0.0,,,,,,
8.0,0.6666666666666666,233.0,100.0,12.0,0.0,0,0.0,,,,,,
9.0,0.75,234.0,100.0,12.0,0.0,0,0.0,,,,,,
10.0,0.8333333333333334,235.0,100.0,12.0,0.0,0,0.0,,,,,,
11.0,0.9166666666666667,236.0,100.0,12.0,0.0,0,0.0,,,,,,
12.0,1.0,237.0,100.0,12.0,0.0,0,0.0,,,,,,
13.0,1.0833333333333333,238.0,100.0,12.0,0.0,0,0.0,,,,,,
14.0,1.1666666666666665,239.0,100.0,12.0,0.0,0,0.0,,,,,,
15.0,1.2499999999999998,240.0,100.0,12.0,0.0,0,0.0,,,,,,
16.0,1.333333333333333,241.0,100.0,12.0,0.0,0,0.0,,,,,,
17.0,1.4166666666666663,242.0,100.0,12.0,0.0,0,0.0,,,,,,
18.0,1.4999999999999996,243.0,100.0,12.0,0.0,0,0.0,,,,,,
19.0,1.5833333333333328,244.0,100.0,12.0,0.0,0,0.0,,,,,,
20.0,1.666666666666666,245.0,100.0,12.0,0.0,0,0.0,,,,,,
21.0,1.7499999999999993,246.0,100.0,12.0,0.0,0,0.0,,,,,,
22.0,1.8333333333333326,247.0,100.0,12.0,0.0,0,0.0,,,,,,
23.0,1.9166666666666659,248.0,100.0,12.0,0.0,0,0.0,,,,,,
24.0,1.9999999999999991,249.0,100.0,12.0,0.0,0,0.0,,,,,,
25.0,2.0833333333333326,250.0,100.0,12.0,0.0,0,0.0,,,,,,
26.0,2.166666666666666,251.0,100.0,12.0,0.0,0,0.0,,,,,,
27.0,2.2499999999999996,252.0,100.0,12.0,0.0,0,0.0,,,,,,
28.0,2.333333333333333,253.0,100.0,12.0,0.0,0,0.0,,,,,,
29.0,2.4166666666666665,254.0,100.0,12.0,0.0,0,0.0,,,,,,
30.0,2.5,255.0,100.0,12.0,0.0,0,0.0,,,,,,
31.0,2.5833333333333335,256.0,100.0,12.0,0.0,0,0.0,,,,,,
32.0,2.666666666666667,257.0,100.0,12.0,0.0,0,0.0,,,,,,
33.0,2.7500000000000004,258.0,100.0,12.0,0.0,0,0.0,,,,,,
34.0,2.833333333333334,259.0,100.0,12.0,0.0,0,0.0,,,,,,
35.0,2.9166666666666674,260.0,100.0,12.0,0.0,0,0.0,,,,,,
36.0,3.000000000000001,261.0,100.0,12.0,0.0,0,0.0,,,,,,
37.0,3.0833333333333344,262.0,100.0,12.0,0.0,0,0.0,,,,,,
38.0,3.166666666666668,263.0,100.0,12.0,0.0,0,0.0,,,,,,
39.0,3.2500000000000013,264.0,100.0,12.0,0.0,0,0.0,,,,,,
40.0,3.333333333333335,265.0,100.0,12.0,0.0,0,0.0,,,,,,
41.0,3.4166666666666683,266.0,100.0,12.0,0.0,0,0.0,,,,,,
42.0,3.5000000000000018,267.0,100.0,12.0,0.0,0,0.0,,,,,,
43.0,3.5833333333333353,268.0,100.0,12.0,0.0,0,0.0,,,,,,
44.0,3.6666666666666687,269.0,100.0,12.0,0.0,0,0.0,,,,,,
45.0,3.750000000000002,270.0,100.0,12.0,0.0,0,0.0,,,,,,
46.0,3.8333333333333357,271.0,100.0,12.0,0.0,0,0.0,,,,,,
47.0,3.916666666666669,272.0,100.0,12.0,0.0,0,0.0,,,,,,
48.0,4.000000000000003,273.0,100.0,12.0,0.0,0,0.0,,,,,,
49.0,4.083333333333336,274.0,100.0,12.0,0.0,0,0.0,,,,,,
50.0,4.166666666666669,275.0,100.0,12.0,0.0,0,0.0,,,,,,
51.0,4.250000000000002,276.0,100.0,12.0,0.0,0,0.0,,,,,,
52.0,4.333333333333335,277.0,100.0,12.0,0.0,0,0.0,,,,,,
53.0,4.416666666666668,278.0,100.0,12.0,0.0,0,0.0,,,,,,
54.0,4.500000000000001,279.0,100.0,12.0,0.0,0,0.0,,,,,,
55.0,4.583333333333334,280.0,100.0,12.0,0.0,0,0.0,,,,,,
56.0,4.666666666666667,281.0,100.0,12.0,0.0,0,0.0,,,,,,
57.0,4.75,282.0,100.0,12.0,0.0,0,0.0,,,,,,
58.0,4.833333333333333,283.0,100.0,12.0,0.0,0,0.0,,,,,,
59.0,4.916666666666666,284.0,100.0,12.0,0.0,0,0.0,,,,,,
60.0,4.999999999999999,285.0,100.0,12.0,0.0,0,0.0,,,,,,
61.0,5.083333333333332,286.0,100.0,12.0,0.0,0,-0.0,,,,,,
62.0,5.166666666666665,287.0,100.0,12.0,0.0,0,-0.0,,,,,,
63.0,5.249999999999998,288.0,100.0,12.0,0.0,0,-0.0,,,,,,
64.0,5.333333333333331,289.0,100.0,12.0,0.0,0,-0.0,,,,,,
65.0,5.416666666666664,290.0,100.0,12.0,0.0,0,-0.0,,,,,,
66.0,5.499999999999997,291.0,100.0,12.0,0.0,0,-0.0,,,,,,
67.0,5.58333333333333,292.0,100.0,12.0,0.0,0,-0.0,,,,,,
68.0,5.666666666666663,293.0,100.0,12.0,0.0,0,-0.0,,,,,,
69.0,5.7499999999999964,294.0,100.0,12.0,0.0,0,-0.0,,,,,,
70.0,5.8333333333333295,295.0,100.0,12.0,0.0,0,-0.0,,,,,,
71.0,5.9166666666666625,296.0,100.0,12.0,0.0,0,-0.0,,,,,,
72.0,5.999999999999996,297.0,100.0,12.0,0.0,0,-0.0,,,,,,
73.0,6.083333333333329,298.0,100.0,12.0,0.0,0,-0.0,,,,,,
74.0,6.166666666666662,299.0,100.0,12.0,0.0,0,-0.0,,,,,,
75.0,6.249999999999995,300.0,100.0,12.0,0.0,0,-0.0,,,,,,
76.0,6.333333333333328,301.0,100.0,12.0,0.0,0,-0.0,,,,,,
77.0,6.416666666666661,302.0,100.0,12.0,0.0,0,-0.0,,,,,,
78.0,6.499999999999994,303.0,100.0,12.0,0.0,0,-0.0,,,,,,
79.0,6.583333333333327,304.0,100.0,12.0,0.0,0,-0.0,,,,,,
80.0,6.66666666666666,305.0,100.0,12.0,0.0,0,-0.0,,,,,,
